  paso  operaciones     tiempo   ns/operacion         suma
     1     33554432    26.9 ms        0.80 ns    100663296
     2     16777216    18.2 ms        1.09 ns     67108864
     4      8388608    17.1 ms        2.04 ns     50331648
     8      4194304    14.6 ms        3.48 ns     41943040
    16      2097152    14.0 ms        6.70 ns     37748736
    32      1048576    11.7 ms       11.20 ns     35651584
    64       524288     6.1 ms       11.66 ns     34603008
   128       262144     4.7 ms       17.87 ns     34078720
   256       131072     2.4 ms       18.10 ns     33816576
   512        65536     2.0 ms       30.99 ns     33685504
  1024        32768     0.8 ms       23.25 ns     33619968
